format,sheet,row,col,valueJson,display,formula
ifrs17-result-snapshot,I17利润表,0,0,2512,2512,
ifrs17-result-snapshot,I17利润表,0,22,"""2512-改WALR 0→1""",2512-改WALR 0→1,
ifrs17-result-snapshot,I17利润表,0,32,"""2512-审计v1""",2512-审计v1,
ifrs17-result-snapshot,I17利润表,0,34,57.54948913918342,57.55,
ifrs17-result-snapshot,I17利润表,0,35,241.0498630449838,241.05,
ifrs17-result-snapshot,I17利润表,0,36,614.0782554311675,614.08,
ifrs17-result-snapshot,I17利润表,1,0,"""单位：万元""",单位：万元,
ifrs17-result-snapshot,I17利润表,1,1,"""公司""", 公司 ,
ifrs17-result-snapshot,I17利润表,1,2,"""传统""", 传统 ,
ifrs17-result-snapshot,I17利润表,1,3,"""分红1""", 分红1 ,
ifrs17-result-snapshot,I17利润表,1,4,"""分红2""", 分红2 ,
ifrs17-result-snapshot,I17利润表,1,5,"""万能""", 万能 ,
ifrs17-result-snapshot,I17利润表,1,6,"""投连""", 投连 ,
ifrs17-result-snapshot,I17利润表,1,7,"""短险""", 短险 ,
ifrs17-result-snapshot,I17利润表,1,8,"""再保""", 再保 ,
ifrs17-result-snapshot,I17利润表,1,9,"""CHK""", CHK ,
ifrs17-result-snapshot,I17利润表,1,12,"""单位：万元""",单位：万元,
ifrs17-result-snapshot,I17利润表,1,13,"""公司""", 公司 ,
ifrs17-result-snapshot,I17利润表,1,14,"""传统""", 传统 ,
ifrs17-result-snapshot,I17利润表,1,15,"""分红1""", 分红1 ,
ifrs17-result-snapshot,I17利润表,1,16,"""分红2""", 分红2 ,
ifrs17-result-snapshot,I17利润表,1,17,"""万能""", 万能 ,
ifrs17-result-snapshot,I17利润表,1,18,"""投连""", 投连 ,
ifrs17-result-snapshot,I17利润表,1,19,"""短险""", 短险 ,
ifrs17-result-snapshot,I17利润表,1,20,"""再保""", 再保 ,
ifrs17-result-snapshot,I17利润表,1,22,"""单位：万元""",单位：万元,
ifrs17-result-snapshot,I17利润表,1,23,"""公司""", 公司 ,
ifrs17-result-snapshot,I17利润表,1,24,"""传统""", 传统 ,
ifrs17-result-snapshot,I17利润表,1,25,"""分红1""", 分红1 ,
ifrs17-result-snapshot,I17利润表,1,26,"""分红2""", 分红2 ,
ifrs17-result-snapshot,I17利润表,1,27,"""万能""", 万能 ,
ifrs17-result-snapshot,I17利润表,1,28,"""投连""", 投连 ,
ifrs17-result-snapshot,I17利润表,1,29,"""短险""", 短险 ,
ifrs17-result-snapshot,I17利润表,1,30,"""再保""", 再保 ,
ifrs17-result-snapshot,I17利润表,1,32,"""单位：万元""",单位：万元,
ifrs17-result-snapshot,I17利润表,1,33,"""公司""", 公司 ,
ifrs17-result-snapshot,I17利润表,1,34,"""传统""", 传统 ,
ifrs17-result-snapshot,I17利润表,1,35,"""分红1""", 分红1 ,
ifrs17-result-snapshot,I17利润表,1,36,"""分红2""", 分红2 ,
ifrs17-result-snapshot,I17利润表,1,37,"""万能""", 万能 ,
ifrs17-result-snapshot,I17利润表,1,38,"""投连""", 投连 ,
ifrs17-result-snapshot,I17利润表,1,39,"""短险""", 短险 ,
ifrs17-result-snapshot,I17利润表,1,40,"""再保""", 再保 ,
